participant_id,frame,t_l,med_rt_obs,p_ll_obs,med_rt_prd,p_ll_prd
9,neutral,2,2.43,1,2.748371693133151,0.9996577825616657
9,neutral,4,2.49,1,2.76730241113911,0.9996081978019874
9,neutral,8,3.01,1,2.9285340443985235,0.9989007089579997
9,neutral,16,3.85,1,3.137384093977848,0.996426451478307
9,neutral,32,3.08,1,3.0905413041602943,0.9972665056214084
9,neutral,64,3.3,1,3.345945458801395,0.9906588046757059
9,neutral,128,2.64,0.3333333333333333,3.4408586361225213,0.9859119365621705
9,defer,2,2.69,1,2.876790437382067,0.9992058957822602
9,defer,4,4.300000000000001,1,2.916031118917276,0.9989876736840377
9,defer,8,4.72,1,3.2434487339854092,0.9942208507882874
9,defer,16,5.445,0.9166666666666666,3.619489104202268,0.9685053069092825
9,defer,32,3.555,1,3.542141922481712,0.9780472130843353
9,defer,64,3,1,3.9009004956621487,0.8939936949876729
9,defer,128,3.215,0.3333333333333333,3.99197487997355,0.8354052624766837
9,speedup,2,4.66,1,2.9321939688410237,0.9988921277004389
9,speedup,4,3.49,1,2.9800748534894055,0.998541836923452
9,speedup,8,4.395,0.9166666666666666,3.3716617762714063,0.9895581787835477
9,speedup,16,4.315,0.75,3.7809226802076235,0.9369570018111256
9,speedup,32,3.725,0.9166666666666666,3.7022426343855503,0.9564652661032792
9,speedup,64,4.345000000000001,0.75,4.029189860865531,0.7961242938390879
9,speedup,128,4.54,0.2727272727272727,4.089677926126074,0.6957829358959954
11,neutral,2,1.96,0.8888888888888888,2.193441027181692,0.9740978604426085
11,neutral,4,2.15,1,2.1948437263521123,0.9747548378056253
11,neutral,8,2.365,0.5,2.3142011962672386,0.845095786483045
11,neutral,16,2.245,0.8333333333333334,2.159682791601458,0.9795861661020238
11,neutral,32,2.165,0.6,2.261034904233417,0.9112696082425455
11,neutral,64,2.295,0.4,2.3151127534571896,0.8277783422341513
11,neutral,128,2.35,0.9090909090909091,2.240528047886882,0.9426179102126581
11,defer,2,1.8,1,2.034693183554448,0.9965835080960792
11,defer,4,2.1500000000000004,1,2.0360044220337037,0.9957153536959761
11,defer,8,2.135,0.6666666666666666,2.175693017036882,0.9573679402052871
11,defer,16,1.93,1,2.0045697357221424,0.9973035278380168
11,defer,32,2.02,0.9090909090909091,2.1050273833631414,0.9853082547687186
11,defer,64,2.65,0.7777777777777778,2.177089199119879,0.9507285374014953
11,defer,128,1.96,1,2.0819331111889605,0.9914174234167912
11,speedup,2,2.26,0.9090909090909091,2.25249710930527,0.9495393738843565
11,speedup,4,3.2,0.9,2.253746247359805,0.9392556764904765
11,speedup,8,2.69,0.45454545454545453,2.3491940150750974,0.7727372934291755
11,speedup,16,2.29,0.9,2.221646434713114,0.9548149911712089
11,speedup,32,2.45,0.6666666666666666,2.3094954452493983,0.8547751879620233
11,speedup,64,2.585,0.4166666666666667,2.349827934290756,0.7798851338076485
11,speedup,128,2.1,1,2.292913277583009,0.8969882865920613
13,neutral,2,1.76,0.09090909090909091,2.264832753163759,0.08364786525612926
13,neutral,4,1.89,0.16666666666666666,2.2982925498030844,0.13054458448858378
13,neutral,8,1.72,0.1111111111111111,2.29764146261221,0.12666447753212662
13,neutral,16,2.015,0.08333333333333333,2.2969906266622337,0.13142112726779598
13,neutral,32,2.105,0.9166666666666666,2.307650779353457,0.8499205896363466
13,neutral,64,2.21,1,2.2634383831383462,0.9193201170686214
13,neutral,128,2.04,1,2.2163353265615524,0.954667633327976
13,defer,2,2.02,0.09090909090909091,2.2697036500597134,0.08819162276947275
13,defer,4,2.565,0.25,2.3036216844093405,0.14087095525529192
13,defer,8,2.7199999999999998,0,2.3029696768753727,0.140777695559239
13,defer,16,3.08,0,2.302317595866749,0.14686852900679997
13,defer,32,2.44,1,2.3000377915836743,0.8654765153409544
13,defer,64,2.745,1,2.25499873547783,0.924833959647641
13,defer,128,2.4,0.9090909090909091,2.208319363355245,0.9596573939983779
13,speedup,2,2.29,0.36363636363636365,2.307585059207919,0.14645884231920553
13,speedup,4,2.3449999999999998,0.16666666666666666,2.340016641202645,0.2524728128027615
13,speedup,8,2.5,0.25,2.339483178819551,0.2516589779560106
13,speedup,16,2.45,0.3333333333333333,2.3389455286703207,0.2515461311081792
13,speedup,32,2.255,1,2.2398767592528137,0.9390168659805028
13,speedup,64,2.4450000000000003,1,2.195609750031542,0.9642515847790036
13,speedup,128,2.22,1,2.1558488688383908,0.9788143465632799
15,neutral,2,1.8650000000000002,1,2.558265338372762,0.9999
